# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1296712	1297092	-					queD		DAUD_RS06245	381		old_locus_tag=Daud_1237
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1296712	1297092	-	WP_012302334.1	WP_012302334.1		6-carboxytetrahydropterin synthase QueD	queD		DAUD_RS06245	381	126	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1297244	1298377	-							DAUD_RS06250	1134		old_locus_tag=Daud_1238
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1297244	1298377	-	WP_012302335.1	WP_012302335.1		tetratricopeptide repeat protein			DAUD_RS06250	1134	377	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1298501	1299175	-					deoC		DAUD_RS06255	675		old_locus_tag=Daud_1239
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1298501	1299175	-	WP_041571207.1	WP_041571207.1		deoxyribose-phosphate aldolase	deoC		DAUD_RS06255	675	224	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1299198	1300118	-							DAUD_RS06260	921		old_locus_tag=Daud_1240
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1299198	1300118	-	WP_012302337.1	WP_012302337.1		D-alanine--D-alanine ligase			DAUD_RS06260	921	306	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1300203	1301915	-							DAUD_RS06265	1713		old_locus_tag=Daud_1241
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1300203	1301915	-	WP_049752577.1	WP_049752577.1		hypothetical protein			DAUD_RS06265	1713	570	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1302078	1303577	+							DAUD_RS11565	1500		old_locus_tag=Daud_1242
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1302078	1303577	+	WP_012302339.1	WP_012302339.1		metallophosphoesterase			DAUD_RS11565	1500	499	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1303936	1304640	-							DAUD_RS06285	705		old_locus_tag=Daud_1244
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1303936	1304640	-	WP_041570855.1	WP_041570855.1		endonuclease III domain-containing protein			DAUD_RS06285	705	234	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1304812	1305195	-							DAUD_RS06290	384		old_locus_tag=Daud_1245
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1304812	1305195	-	WP_012302342.1	WP_012302342.1		recombinase family protein			DAUD_RS06290	384	127	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1305752	1307083	+							DAUD_RS06295	1332		old_locus_tag=Daud_1246
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1305752	1307083	+	WP_012301410.1	WP_012301410.1		transposase			DAUD_RS06295	1332	443	
gene	tRNA	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1307354	1307438	+							DAUD_RS06300	85		old_locus_tag=Daud_R0029
tRNA		GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1307354	1307438	+				tRNA-Leu			DAUD_RS06300	85		anticodon=GAG
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1307571	1307711	+							DAUD_RS12460	141		
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1307571	1307711	+	WP_166485132.1	WP_166485132.1		hypothetical protein			DAUD_RS12460	141	46	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1307726	1308079	+							DAUD_RS06305	354		old_locus_tag=Daud_1247
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1307726	1308079	+	WP_166485133.1	WP_166485133.1		hypothetical protein			DAUD_RS06305	354	117	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1308058	1308276	+							DAUD_RS06310	219		
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1308058	1308276	+	WP_166485134.1	WP_166485134.1		hypothetical protein			DAUD_RS06310	219	72	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1308349	1308777	+							DAUD_RS06315	429		old_locus_tag=Daud_1248
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1308349	1308777	+	WP_041570857.1	WP_041570857.1		hypothetical protein			DAUD_RS06315	429	142	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1308830	1310428	-							DAUD_RS06320	1599		old_locus_tag=Daud_1249
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1308830	1310428	-	WP_012302345.1	WP_012302345.1		FAD-binding protein			DAUD_RS06320	1599	532	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1310443	1311126	-							DAUD_RS06325	684		old_locus_tag=Daud_1250
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1310443	1311126	-	WP_012302346.1	WP_012302346.1		4Fe-4S dicluster domain-containing protein			DAUD_RS06325	684	227	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1311149	1311997	-							DAUD_RS06330	849		old_locus_tag=Daud_1251
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1311149	1311997	-	WP_012302347.1	WP_012302347.1		disulfide reductase			DAUD_RS06330	849	282	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1312008	1312388	-							DAUD_RS06335	381		old_locus_tag=Daud_1252
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1312008	1312388	-	WP_041570858.1	WP_041570858.1		4Fe-4S dicluster domain-containing protein			DAUD_RS06335	381	126	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1312571	1313131	-							DAUD_RS06340	561		old_locus_tag=Daud_1253
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1312571	1313131	-	WP_012302349.1	WP_012302349.1		Fe-S-containing hydro-lyase			DAUD_RS06340	561	186	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1313175	1314017	-							DAUD_RS06345	843		old_locus_tag=Daud_1254
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1313175	1314017	-	WP_166485135.1	WP_166485135.1		fumarate hydratase			DAUD_RS06345	843	280	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1314109	1316097	-							DAUD_RS06350	1989		old_locus_tag=Daud_1255
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1314109	1316097	-	WP_012302351.1	WP_012302351.1		TRAP transporter permease			DAUD_RS06350	1989	662	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1316250	1317254	-							DAUD_RS06355	1005		old_locus_tag=Daud_1256
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1316250	1317254	-	WP_166485231.1	WP_166485231.1		TAXI family TRAP transporter solute-binding subunit			DAUD_RS06355	1005	334	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1317626	1318300	-							DAUD_RS06360	675		old_locus_tag=Daud_1257
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1317626	1318300	-	WP_012302353.1	WP_012302353.1		response regulator			DAUD_RS06360	675	224	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1318489	1319703	+							DAUD_RS06365	1215		old_locus_tag=Daud_1258
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1318489	1319703	+	WP_012302354.1	WP_012302354.1		hypothetical protein			DAUD_RS06365	1215	404	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1319700	1320938	+							DAUD_RS06370	1239		old_locus_tag=Daud_1259
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1319700	1320938	+	WP_012302355.1	WP_012302355.1		AAA family ATPase			DAUD_RS06370	1239	412	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1320951	1322198	+							DAUD_RS06375	1248		old_locus_tag=Daud_1260
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1320951	1322198	+	WP_012302356.1	WP_012302356.1		hypothetical protein			DAUD_RS06375	1248	415	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1322227	1322991	-							DAUD_RS06380	765		old_locus_tag=Daud_1261
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1322227	1322991	-	WP_012302357.1	WP_012302357.1		carbohydrate deacetylase			DAUD_RS06380	765	254	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1323112	1323285	-							DAUD_RS12465	174		old_locus_tag=Daud_1262
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1323112	1323285	-	WP_012302358.1	WP_012302358.1		hypothetical protein			DAUD_RS12465	174	57	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1323399	1324349	+							DAUD_RS06385	951		old_locus_tag=Daud_1263
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1323399	1324349	+	WP_012302359.1	WP_012302359.1		hypothetical protein			DAUD_RS06385	951	316	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1324621	1326261	+							DAUD_RS06390	1641		old_locus_tag=Daud_1264
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1324621	1326261	+	WP_166485232.1	WP_166485232.1		Na/Pi cotransporter family protein			DAUD_RS06390	1641	546	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1326258	1327295	-							DAUD_RS06395	1038		old_locus_tag=Daud_1265
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1326258	1327295	-	WP_166485233.1	WP_166485233.1		tetraprenyl-beta-curcumene synthase family protein			DAUD_RS06395	1038	345	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1327455	1327598	-							DAUD_RS12065	144		
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1327455	1327598	-	WP_166485136.1	WP_166485136.1		hypothetical protein			DAUD_RS12065	144	47	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1327641	1329710	-					feoB		DAUD_RS06400	2070		old_locus_tag=Daud_1266
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1327641	1329710	-	WP_012302362.1	WP_012302362.1		ferrous iron transport protein B	feoB		DAUD_RS06400	2070	689	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1329713	1329955	-							DAUD_RS12470	243		old_locus_tag=Daud_1267
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1329713	1329955	-	WP_041570859.1	WP_041570859.1		ferrous iron transport protein A			DAUD_RS12470	243	80	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1330156	1331115	-							DAUD_RS06410	960		old_locus_tag=Daud_1268
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1330156	1331115	-	WP_166485234.1	WP_166485234.1		SpoIID/LytB domain-containing protein			DAUD_RS06410	960	319	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1331461	1334826	-							DAUD_RS06415	3366		old_locus_tag=Daud_1269
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1331461	1334826	-	WP_012302365.1	WP_012302365.1		ribonucleoside-diphosphate reductase			DAUD_RS06415	3366	1121	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1335044	1336042	+					gap		DAUD_RS06420	999		old_locus_tag=Daud_1270
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1335044	1336042	+	WP_012302366.1	WP_012302366.1		type I glyceraldehyde-3-phosphate dehydrogenase	gap		DAUD_RS06420	999	332	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1336087	1336353	-							DAUD_RS06425	267		old_locus_tag=Daud_1271
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1336087	1336353	-	WP_012302367.1	WP_012302367.1		hypothetical protein			DAUD_RS06425	267	88	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1336632	1337192	+							DAUD_RS06430	561		old_locus_tag=Daud_1272
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1336632	1337192	+	WP_012302368.1	WP_012302368.1		RNA polymerase sigma factor			DAUD_RS06430	561	186	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1337198	1338142	+							DAUD_RS06435	945		old_locus_tag=Daud_1273
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1337198	1338142	+	WP_012302369.1	WP_012302369.1		DUF4367 domain-containing protein			DAUD_RS06435	945	314	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1338150	1338374	-							DAUD_RS06440	225		old_locus_tag=Daud_1274
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1338150	1338374	-	WP_012302370.1	WP_012302370.1		hypothetical protein			DAUD_RS06440	225	74	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1338507	1338953	-							DAUD_RS06445	447		old_locus_tag=Daud_1275
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1338507	1338953	-	WP_041571210.1	WP_041571210.1		DUF188 domain-containing protein			DAUD_RS06445	447	148	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1339106	1339258	-							DAUD_RS12070	153		
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1339106	1339258	-	WP_083756618.1	WP_083756618.1		DUF1540 domain-containing protein			DAUD_RS12070	153	50	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1339323	1343015	-					addA		DAUD_RS06450	3693		old_locus_tag=Daud_1276
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1339323	1343015	-	WP_012302372.1	WP_012302372.1		helicase-exonuclease AddAB subunit AddA	addA		DAUD_RS06450	3693	1230	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1343008	1346505	-					addB		DAUD_RS06455	3498		old_locus_tag=Daud_1277
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1343008	1346505	-	WP_012302373.1	WP_012302373.1		helicase-exonuclease AddAB subunit AddB	addB		DAUD_RS06455	3498	1165	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1346582	1348669	-							DAUD_RS11570	2088		old_locus_tag=Daud_1278
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1346582	1348669	-	WP_012302374.1	WP_012302374.1		AAA family ATPase			DAUD_RS11570	2088	695	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1348779	1349837	-							DAUD_RS06465	1059		old_locus_tag=Daud_1279
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1348779	1349837	-	WP_041570861.1	WP_041570861.1		3-isopropylmalate dehydrogenase			DAUD_RS06465	1059	352	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1349854	1351185	-							DAUD_RS06470	1332		old_locus_tag=Daud_1280
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1349854	1351185	-	WP_041570862.1	WP_041570862.1		pyrimidine-nucleoside phosphorylase			DAUD_RS06470	1332	443	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1351182	1352351	-							DAUD_RS06475	1170		old_locus_tag=Daud_1281
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1351182	1352351	-	WP_166485235.1	WP_166485235.1		phosphopentomutase			DAUD_RS06475	1170	389	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1352393	1353280	-					xerD		DAUD_RS06480	888		old_locus_tag=Daud_1282
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1352393	1353280	-	WP_012302378.1	WP_012302378.1		site-specific tyrosine recombinase XerD	xerD		DAUD_RS06480	888	295	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1353337	1353564	-							DAUD_RS06485	228		old_locus_tag=Daud_1283
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1353337	1353564	-	WP_012302379.1	WP_012302379.1		hypothetical protein			DAUD_RS06485	228	75	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1353583	1354212	-					spoIIM		DAUD_RS11575	630		old_locus_tag=Daud_1284
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1353583	1354212	-	WP_012302380.1	WP_012302380.1		stage II sporulation protein M	spoIIM		DAUD_RS11575	630	209	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1354280	1355383	-							DAUD_RS06495	1104		old_locus_tag=Daud_1285
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1354280	1355383	-	WP_012302381.1	WP_012302381.1		DUF3866 family protein			DAUD_RS06495	1104	367	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1359559	1360479	-					cas4a		DAUD_RS06500	921		old_locus_tag=Daud_1286
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1359559	1360479	-	WP_041570863.1	WP_041570863.1		type I-A CRISPR-associated protein Cas4/Csa1	cas4a		DAUD_RS06500	921	306	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1360518	1361090	-					cas4		DAUD_RS06505	573		old_locus_tag=Daud_1287
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1360518	1361090	-	WP_012302383.1	WP_012302383.1		CRISPR-associated protein Cas4	cas4		DAUD_RS06505	573	190	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1361087	1361407	-					cas2		DAUD_RS06510	321		old_locus_tag=Daud_1288
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1361087	1361407	-	WP_012302384.1	WP_012302384.1		CRISPR-associated endonuclease Cas2	cas2		DAUD_RS06510	321	106	
gene	pseudogene	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1361410	1362416	-					cas1		DAUD_RS06515	1007		pseudo;old_locus_tag=Daud_1289
CDS	without_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1361410	1362416	-				CRISPR-associated endonuclease Cas1	cas1		DAUD_RS06515	1007		pseudo
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1362702	1362848	-							DAUD_RS12475	147		
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1362702	1362848	-	WP_166485137.1	WP_166485137.1		hypothetical protein			DAUD_RS12475	147	48	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1362881	1365259	-							DAUD_RS11580	2379		old_locus_tag=Daud_1290
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1362881	1365259	-	WP_049752579.1	WP_049752579.1		CRISPR-associated helicase/endonuclease Cas3			DAUD_RS11580	2379	792	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1365243	1366010	-					cas5		DAUD_RS06525	768		old_locus_tag=Daud_1291
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1365243	1366010	-	WP_012302387.1	WP_012302387.1		CRISPR-associated protein Cas5	cas5		DAUD_RS06525	768	255	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1366007	1367074	-					cas7i		DAUD_RS06530	1068		old_locus_tag=Daud_1292
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1366007	1367074	-	WP_012302388.1	WP_012302388.1		type I-B CRISPR-associated protein Cas7/Cst2/DevR	cas7i		DAUD_RS06530	1068	355	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1367096	1368652	-							DAUD_RS06535	1557		old_locus_tag=Daud_1293
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1367096	1368652	-	WP_012302389.1	WP_012302389.1		hypothetical protein			DAUD_RS06535	1557	518	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1368965	1369975	-							DAUD_RS06540	1011		old_locus_tag=Daud_1294
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1368965	1369975	-	WP_012302390.1	WP_012302390.1		WYL domain-containing protein			DAUD_RS06540	1011	336	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1370179	1371174	-							DAUD_RS06545	996		old_locus_tag=Daud_1295
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1370179	1371174	-	WP_012302391.1	WP_012302391.1		CRISPR system precrRNA processing endoribonuclease RAMP protein Cas6			DAUD_RS06545	996	331	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1371158	1371925	-							DAUD_RS06550	768		old_locus_tag=Daud_1296
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1371158	1371925	-	WP_012302392.1	WP_012302392.1		hypothetical protein			DAUD_RS06550	768	255	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1372132	1373892	+							DAUD_RS06555	1761		old_locus_tag=Daud_1297
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1372132	1373892	+	WP_012302393.1	WP_012302393.1		fibronectin/fibrinogen-binding protein			DAUD_RS06555	1761	586	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1374119	1374826	-							DAUD_RS06560	708		old_locus_tag=Daud_1298
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1374119	1374826	-	WP_012302394.1	WP_012302394.1		DNA alkylation repair protein			DAUD_RS06560	708	235	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1374930	1375679	-					pyrF		DAUD_RS06565	750		old_locus_tag=Daud_1299
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1374930	1375679	-	WP_012302395.1	WP_012302395.1		orotidine-5'-phosphate decarboxylase	pyrF		DAUD_RS06565	750	249	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1375685	1376608	-							DAUD_RS06570	924		old_locus_tag=Daud_1300
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1375685	1376608	-	WP_012302396.1	WP_012302396.1		dihydroorotate dehydrogenase			DAUD_RS06570	924	307	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1376605	1377408	-							DAUD_RS06575	804		old_locus_tag=Daud_1301
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1376605	1377408	-	WP_041571217.1	WP_041571217.1		dihydroorotate dehydrogenase electron transfer subunit			DAUD_RS06575	804	267	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1377747	1380995	-					carB		DAUD_RS06580	3249		old_locus_tag=Daud_1302
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1377747	1380995	-	WP_012302398.1	WP_012302398.1		carbamoyl-phosphate synthase large subunit	carB		DAUD_RS06580	3249	1082	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1380996	1382075	-					carA		DAUD_RS06585	1080		old_locus_tag=Daud_1303
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1380996	1382075	-	WP_012302399.1	WP_012302399.1		glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	carA		DAUD_RS06585	1080	359	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1382160	1383449	-							DAUD_RS06590	1290		old_locus_tag=Daud_1304
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1382160	1383449	-	WP_012302400.1	WP_012302400.1		dihydroorotase			DAUD_RS06590	1290	429	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1383449	1384369	-							DAUD_RS06595	921		old_locus_tag=Daud_1305
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1383449	1384369	-	WP_012302401.1	WP_012302401.1		aspartate carbamoyltransferase catalytic subunit			DAUD_RS06595	921	306	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1384490	1385044	-					pyrR		DAUD_RS06600	555		old_locus_tag=Daud_1306
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1384490	1385044	-	WP_012302402.1	WP_012302402.1		bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	pyrR		DAUD_RS06600	555	184	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1385244	1385486	-							DAUD_RS06605	243		old_locus_tag=Daud_1307
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1385244	1385486	-	WP_041571218.1	WP_041571218.1		YqhV family protein			DAUD_RS06605	243	80	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1385608	1386822	+							DAUD_RS06610	1215		old_locus_tag=Daud_1308
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1385608	1386822	+	WP_012302404.1	WP_012302404.1		MFS transporter			DAUD_RS06610	1215	404	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1386959	1387747	+							DAUD_RS06615	789		old_locus_tag=Daud_1309
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1386959	1387747	+	WP_012302405.1	WP_012302405.1		phosphosulfolactate synthase			DAUD_RS06615	789	262	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1387799	1388257	+							DAUD_RS06620	459		old_locus_tag=Daud_1310
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	1387799	1388257	+	WP_012302406.1	WP_012302406.1		DUF441 domain-containing protein			DAUD_RS06620	459	152	
