"MAPPED_TRAIT"	"risk_count"	"risk_1"	"risk_count_2"	"overall_risk * 100"
"922"	"nephrolithiasis"	4	2	2	66.6666666666667
"923"	"nephrotic syndrome"	1	1	0	50
"924"	"nervousness"	1	0	1	100
"925"	"neuritic plaque measurement"	7	4	3	63.6363636363636
"926"	"neuroblastoma"	13	10	3	56.5217391304348
"927"	"neuroblastoma, cutaneous melanoma"	2	0	2	100
"928"	"neurofibrillary tangles measurement"	3	1	2	75
"929"	"neuroimaging measurement, South Texas Assessment of Neurocognition"	1	0	1	100
"930"	"neurotic disorder"	2	1	1	66.6666666666667
"931"	"neuroticism measurement"	69	43	26	61.6071428571429
"932"	"neutrophil count"	99	56	43	63.8709677419355
"933"	"neutrophil count, basophil count"	13	8	5	61.9047619047619
"934"	"neutrophil count, eosinophil count"	13	9	4	59.0909090909091
"935"	"neutrophil percentage of granulocytes"	10	4	6	71.4285714285714
"936"	"neutrophil percentage of leukocytes"	24	16	8	60
"937"	"nevus count, cutaneous melanoma"	5	1	4	83.3333333333333
"938"	"nicotine dependence"	4	3	1	57.1428571428571
"939"	"nicotine dependence symptom count"	7	5	2	58.3333333333333
"940"	"nicotine glucuronidation measurement"	1	1	0	50
"941"	"nicotine use"	1	1	0	50
"942"	"nicotine withdrawal measurement"	1	0	1	100
"943"	"nighttime rest measurement"	3	1	2	75
"944"	"nitric oxide exhalation measurement"	5	5	0	50
"945"	"non-alcoholic fatty liver disease"	3	2	1	60
"946"	"non-alcoholic fatty liver disease severity measurement"	3	3	0	50
"947"	"non-alcoholic fatty liver disease, cirrhosis of liver"	7	4	3	63.6363636363636
"948"	"non-dense area measurement, mammographic density measurement"	1	1	0	50
"949"	"non-Hodgkins lymphoma"	1	1	0	50
"950"	"non-melanoma skin carcinoma"	8	2	6	80
"951"	"non-receptor tyrosine-protein kinase TYK2 measurement"	1	0	1	100
"952"	"non-small cell lung carcinoma"	7	5	2	58.3333333333333
"953"	"Non-steroidal anti-inflammatory and antirheumatic product use measurement"	1	1	0	50
"954"	"non-word reading"	1	1	0	50
"955"	"nose morphology measurement"	3	2	1	60
"956"	"nucleus accumbens volume"	1	0	1	100
"957"	"obese body mass index status"	3	3	0	50
"958"	"obese body mass index status, urate measurement"	3	1	2	75
"959"	"obesity"	75	42	33	64.1025641025641
"960"	"obsessive-compulsive symptom measurement"	1	0	1	100
"961"	"OCIA domain-containing protein 1 measurement"	1	0	1	100
"962"	"odontogenesis"	14	8	6	63.6363636363636
"963"	"oleic acid measurement"	3	3	0	50
"964"	"omega-3 polyunsaturated fatty acid measurement"	1	1	0	50
"965"	"omega-3 polyunsaturated fatty acid measurement, metabolic syndrome"	1	1	0	50
"966"	"omega-6 polyunsaturated fatty acid measurement"	13	13	0	50
"967"	"omega-6:omega-3 polyunsaturated fatty acid ratio, metabolic syndrome"	2	1	1	66.6666666666667
"968"	"open-angle glaucoma"	17	13	4	56.6666666666667
"969"	"opioid dependence"	1	0	1	100
"970"	"opioid dependence, methadone dose measurement"	1	1	0	50
"971"	"Opioid use measurement"	2	0	2	100
"972"	"optic cup area measurement"	35	23	12	60.3448275862069
"973"	"optic disc area measurement"	29	25	4	53.7037037037037
"974"	"optic disc measurement"	1	1	0	50
"975"	"optic disc size measurement"	39	29	10	57.3529411764706
"976"	"Oral ulcer"	8	5	3	61.5384615384615
"977"	"ornithine measurement, amino acid measurement"	1	0	1	100
"978"	"ossification of the posterior longitudinal ligament of the spine"	2	0	2	100
"979"	"osteitis deformans"	6	3	3	66.6666666666667
"980"	"osteoarthritis"	6	3	3	66.6666666666667
"981"	"osteoarthritis biomarker measurement"	1	0	1	100
"982"	"osteoarthritis, hip"	3	0	3	100
"983"	"osteoarthritis, hip, osteoarthritis, knee"	1	1	0	50
"984"	"osteoarthritis, knee"	3	2	1	60
"985"	"osteoporosis"	2	2	0	50
"986"	"osteoprotegerin measurement"	3	0	3	100
"987"	"osteosarcoma"	1	1	0	50
"988"	"ototoxicity, response to cisplatin"	3	2	1	60
"989"	"outer ear morphology trait"	1	1	0	50
"990"	"ovarian carcinoma"	21	16	5	56.7567567567568
"991"	"ovarian clear cell adenocarcinoma"	1	0	1	100
"992"	"ovarian mucinous adenocarcinoma"	1	0	1	100
"993"	"ovarian serous carcinoma"	12	9	3	57.1428571428571
"994"	"overall survival, pancreatic carcinoma"	6	2	4	75
"995"	"overweight body mass index status"	1	0	1	100
"996"	"OX-2 membrane glycoprotein measurement"	1	1	0	50
"997"	"oxygen saturation measurement, chronic obstructive pulmonary disease"	1	0	1	100
"998"	"oxytocin measurement"	1	1	0	50
"999"	"P-Selectin measurement"	1	1	0	50
"1000"	"p-tau measurement"	1	1	0	50
"1001"	"P wave duration"	2	2	0	50
"1002"	"pain"	1	0	1	100
"1003"	"pallidum volume"	2	0	2	100
"1004"	"palmitoleic acid measurement"	1	1	0	50
"1005"	"pancreatic carcinoma"	26	11	15	70.2702702702703
"1006"	"pancreatitis"	2	2	0	50
"1007"	"panic disorder"	1	1	0	50
"1008"	"pappalysin***1 measurement"	1	1	0	50
"1009"	"parathyroid hormone measurement"	1	1	0	50
"1010"	"parental emotion expression measurmement, conduct disorder"	3	2	1	60
"1011"	"parental longevity"	47	17	30	73.4375
"1012"	"Parkinson's disease"	46	19	27	70.7692307692308
"1013"	"Parkinson's disease, motor function measurement, response to levodopa"	1	1	0	50
"1014"	"partial epilepsy"	1	0	1	100
"1015"	"partial thromboplastin time"	8	4	4	66.6666666666667
"1016"	"pathological myopia"	6	3	3	66.6666666666667
"1017"	"PCSK9 protein measurement"	2	2	0	50
"1018"	"peak expiratory flow"	16	11	5	59.2592592592593
"1019"	"peak insulin response measurement"	2	1	1	66.6666666666667
"1020"	"peanut allergy measurement"	1	1	0	50
"1021"	"pelvic organ prolapse"	4	2	2	66.6666666666667
"1022"	"pemphigus"	1	1	0	50
"1023"	"pemphigus vulgaris"	2	1	1	66.6666666666667
"1024"	"pepsinogen I/II ratio"	1	1	0	50
"1025"	"peptidyl-prolyl cis-trans isomerase D measurement"	1	1	0	50
"1026"	"perceived unattractiveness to mosquitos measurement"	2	2	0	50
"1027"	"periodontitis"	16	6	10	72.7272727272727
"1028"	"peripheral arterial disease"	6	4	2	60
"1029"	"peripheral arterial disease, traffic air pollution measurement"	2	1	1	66.6666666666667
"1030"	"peripheral neuropathy, acute lymphoblastic leukemia, response to vincristine"	1	1	0	50
"1031"	"peripheral neuropathy, breast carcinoma, response to taxane"	1	1	0	50
"1032"	"periprosthetic osteolysis, total hip arthroplasty, disease progression measurement"	1	1	0	50
"1033"	"personality trait"	6	4	2	60
"1034"	"phosphatidylcholine ether measurement"	1	1	0	50
"1035"	"phosphatidylcholine measurement"	4	4	0	50
"1036"	"phosphatidylethanolamine ether measurement"	2	2	0	50
"1037"	"phosphatidylethanolamine measurement"	1	1	0	50
"1038"	"phosphatidylinositol measurement"	5	0	5	100
"1039"	"phospholipase A2, membrane associated measurement, C-reactive protein measurement"	1	0	1	100
"1040"	"phosphorus measurement"	2	2	0	50
"1041"	"physical activity"	9	6	3	60
"1042"	"physical activity measurement"	5	1	4	83.3333333333333
"1043"	"physical activity measurement, body mass index"	177	124	53	58.8039867109634
"1044"	"phytosterol measurement"	1	1	0	50
"1045"	"pit and fissure surface dental caries"	4	3	1	57.1428571428571
"1046"	"plasma betaine measurement, angiographic measurement"	1	0	1	100
"1047"	"plasma kallikrein measurement"	1	1	0	50
"1048"	"plasma renin activity measurement"	1	1	0	50
"1049"	"platelet-derived growth factor BB measurement"	4	1	3	80
"1050"	"platelet-derived growth factor receptor beta measurement"	1	1	0	50
"1051"	"platelet aggregation"	18	16	2	52.9411764705882
"1052"	"platelet component distribution width"	32	19	13	62.7450980392157
"1053"	"platelet count"	198	111	87	64.0776699029126
"1054"	"platelet crit"	51	35	16	59.3023255813953
"1055"	"platelet endothelial cell adhesion molecule measurement"	2	2	0	50
"1056"	"platelet glycoprotein 4 measurement"	1	1	0	50
"1057"	"platelet glycoprotein VI measurement"	1	1	0	50
"1058"	"plexin-C1 measurement"	1	1	0	50
"1059"	"pneumoconiosis, response to silica exposure"	1	1	0	50
"1060"	"polycystic ovary syndrome"	15	6	9	71.4285714285714
"1061"	"positive regulation of ovulation"	1	0	1	100
"1062"	"postburn hypertrophic scarring severity measurement"	2	1	1	66.6666666666667
"1063"	"potassium measurement"	2	2	0	50
"1064"	"PR interval"	49	34	15	59.0361445783133
"1065"	"PR segment"	4	3	1	57.1428571428571
"1066"	"preeclampsia, parental genotype effect measurement"	1	0	1	100
"1067"	"premature birth, parental genotype effect measurement"	1	1	0	50
"1068"	"primary angle closure glaucoma"	7	5	2	58.3333333333333
"1069"	"primary biliary cirrhosis"	22	15	7	59.4594594594595
"1070"	"progranulin measurement"	9	6	3	60
"1071"	"progression free survival, metastatic colorectal cancer, response to cetuximab, response to CAPOX-B"	2	1	1	66.6666666666667
"1072"	"Progressive supranuclear palsy"	1	1	0	50
"1073"	"proline measurement, amino acid measurement"	1	0	1	100
"1074"	"proprotein convertase subtilisin/kexin type 7 measurement"	1	1	0	50
"1075"	"prostate carcinoma"	222	101	121	68.7306501547988
"1076"	"prostate specific antigen measurement"	18	5	13	78.2608695652174
"1077"	"protein C measurement"	5	4	1	55.5555555555556
"1078"	"protein jagged-1 measurement"	1	1	0	50
"1079"	"protein measurement"	9	4	5	69.2307692307692
"1080"	"protein S measurement, hematological measurement"	1	1	0	50
"1081"	"prothrombin time measurement"	1	1	0	50
"1082"	"psoriasis"	77	47	30	62.0967741935484
"1083"	"psoriasis vulgaris"	12	7	5	63.1578947368421
"1084"	"psoriatic arthritis"	2	1	1	66.6666666666667
"1085"	"puberty onset measurement"	15	10	5	60
"1086"	"puberty, height growth measurement"	8	2	6	80
"1087"	"pulmonary arterial hypertension"	1	1	0	50
"1088"	"pulmonary function measurement"	6	5	1	54.5454545454545
"1089"	"pulmonary function measurement, FEV/FEC ratio"	14	7	7	66.6666666666667
"1090"	"pulmonary function measurement, forced expiratory volume"	6	4	2	60
"1091"	"pulmonary function measurement, forced expiratory volume, asthma"	2	1	1	66.6666666666667
"1092"	"pulmonary function measurement, forced expiratory volume, smoking behaviour measurement"	3	1	2	75
"1093"	"pulmonary function measurement, smoking behaviour measurement, FEV/FEC ratio"	16	6	10	72.7272727272727
"1094"	"pulse pressure measurement"	118	53	65	69.0058479532164
"1095"	"pulse pressure measurement, alcohol consumption measurement"	1	1	0	50
"1096"	"pulse pressure measurement, alcohol drinking"	3	3	0	50
"1097"	"pursuit maintenance gain measurement"	4	3	1	57.1428571428571
"1098"	"putamen volume"	3	1	2	75
"1099"	"pyroglutamine measurement"	1	0	1	100
"1100"	"QRS duration"	52	39	13	57.1428571428571
"1101"	"QT interval"	60	39	21	60.6060606060606
"1102"	"QT interval, particulate matter air pollution measurement"	1	0	1	100
"1103"	"QT interval, response to tricyclic antidepressant"	1	1	0	50
"1104"	"quality of life during menstruation measurement, acne"	3	2	1	60
"1105"	"quality of life during menstruation measurement, aggressive behavior"	1	1	0	50
"1106"	"quality of life during menstruation measurement, decreased attention"	1	0	1	100
"1107"	"quality of life during menstruation measurement, eating behaviour"	1	1	0	50
"1108"	"reading and spelling ability"	15	6	9	71.4285714285714
"1109"	"recalcitrant atopic dermatitis"	1	1	0	50
"1110"	"receptive language perception, parental genotype effect measurement"	1	0	1	100
"1111"	"rectum cancer"	2	2	0	50
"1112"	"red blood cell density measurement"	68	40	28	62.962962962963
"1113"	"red blood cell distribution width"	99	51	48	66
"1114"	"refractive error measurement"	28	13	15	68.2926829268293
"1115"	"refractory celiac disease"	1	1	0	50
"1116"	"remission, hepatitis C virus infection"	3	3	0	50
"1117"	"renal cell carcinoma"	4	3	1	57.1428571428571
"1118"	"renal sinus adipose tissue measurement"	2	1	1	66.6666666666667
"1119"	"renal system measurement"	9	7	2	56.25
"1120"	"renal system measurement, blood urea nitrogen measurement"	8	5	3	61.5384615384615
"1121"	"renal system measurement, uric acid measurement"	3	2	1	60
"1122"	"resistin measurement"	5	5	0	50
"1123"	"response to 5' fluorouracil, response to antineoplastic agent"	1	1	0	50
"1124"	"response to alcohol"	1	0	1	100
"1125"	"response to anticoagulant"	2	2	0	50
"1126"	"response to antidepressant"	5	3	2	62.5
"1127"	"response to antineoplastic agent"	8	4	4	66.6666666666667
"1128"	"response to antineoplastic agent, response to anthracycline-based chemotherapy"	2	2	0	50
"1129"	"response to antineoplastic agent, response to antimetabolite"	1	1	0	50
"1130"	"response to antineoplastic agent, response to antimicrotubule agent"	2	0	2	100
"1131"	"response to aromatase inhibitor, estrogen-receptor positive breast cancer"	1	0	1	100
"1132"	"response to beta blocker, heart rate"	6	1	5	85.7142857142857
"1133"	"response to bleomycin, chromatid break measurement, response to antibiotic"	2	2	0	50
"1134"	"response to bronchodilator, asthma"	2	1	1	66.6666666666667
"1135"	"response to bronchodilator, chronic obstructive pulmonary disease, FEV/FEC ratio"	21	13	8	61.7647058823529
"1136"	"response to bronchodilator, FEV/FEC ratio"	53	28	25	65.4320987654321
"1137"	"response to candesartan, hypertension"	1	1	0	50
"1138"	"response to carboplatin, response to antineoplastic agent"	1	1	0	50
"1139"	"response to carboplatin, response to paclitaxel, response to antineoplastic agent"	1	0	1	100
"1140"	"response to cisplatin, response to antineoplastic agent"	2	1	1	66.6666666666667
"1141"	"response to cyclophosphamide, chemotherapy-induced alopecia, response to 5' fluorouracil, response to doxorubicin"	2	0	2	100
"1142"	"response to cyclophosphamide, response to antineoplastic agent"	1	0	1	100
"1143"	"response to dalcetrapib, acute coronary syndrome, cardiovascular event measurement"	1	0	1	100
"1144"	"response to darapladib, acute coronary syndrome, lipoprotein-associated phospholipase A(2) change measurement, coronary artery disease"	1	1	0	50
"1145"	"response to diisocyanate, asthma"	3	3	0	50
"1146"	"response to diuretic"	1	0	1	100
"1147"	"response to drug, epilepsy"	1	1	0	50
"1148"	"response to etoposide, response to antineoplastic agent"	1	0	1	100
"1149"	"response to fenofibrate"	2	2	0	50
"1150"	"response to gases and fumes exposure, forced expiratory volume"	2	1	1	66.6666666666667
"1151"	"response to glucocorticoid, osteonecrosis"	2	0	2	100
"1152"	"response to high fat food intake, triglyceride change measurement"	2	1	1	66.6666666666667
"1153"	"response to hydrochlorothiazide, diastolic blood pressure change measurement, hypertension"	1	0	1	100
"1154"	"response to hydrochlorothiazide, fasting blood glucose measurement"	7	5	2	58.3333333333333
"1155"	"response to hydrochlorothiazide, hypertension, systolic blood pressure change measurement"	1	1	0	50
"1156"	"response to hydrochlorothiazide, triglyceride measurement"	2	1	1	66.6666666666667
"1157"	"response to iloperidone"	3	1	2	75
"1158"	"response to interferon beta"	1	0	1	100
"1159"	"response to irinotecan, non-small cell lung carcinoma"	2	2	0	50
"1160"	"response to methotrexate, rheumatoid arthritis"	1	0	1	100
"1161"	"response to olanzapine"	1	1	0	50
"1162"	"response to paclitaxel, response to antineoplastic agent"	1	1	0	50
"1163"	"response to platinum based chemotherapy, non-small cell lung carcinoma"	1	0	1	100
"1164"	"response to radiation, breast carcinoma, childhood cancer"	1	0	1	100
"1165"	"response to radiation, prostate carcinoma"	4	3	1	57.1428571428571
"1166"	"response to risperidone"	1	1	0	50
"1167"	"response to simvastatin, PCSK9 protein measurement"	1	1	0	50
"1168"	"response to statin"	6	5	1	54.5454545454545
"1169"	"response to statin, LDL cholesterol change measurement"	4	4	0	50
"1170"	"response to statin, low density lipoprotein cholesterol measurement"	2	2	0	50
"1171"	"response to statin, rhabdomyolysis"	1	0	1	100
"1172"	"response to stress, systolic blood pressure change measurement"	1	1	0	50
"1173"	"response to sulfonylurea, QT interval"	3	2	1	60
"1174"	"response to tamoxifen, HER2 status, estrogen-receptor positive breast cancer"	1	0	1	100
"1175"	"response to tamsulosin"	3	0	3	100
"1176"	"response to thiazide, hypertension, glucose measurement"	1	1	0	50
"1177"	"response to thiazide, QT interval"	1	0	1	100
"1178"	"response to thiopurine, thiopurine immunosuppressant-induced pancreatitis, inflammatory bowel disease"	1	1	0	50
"1179"	"response to TNF antagonist"	4	3	1	57.1428571428571
"1180"	"response to transplant, GFR change measurement"	1	0	1	100
"1181"	"response to trauma exposure"	2	1	1	66.6666666666667
"1182"	"response to triamcinolone acetonide, intraocular pressure change measurement"	1	1	0	50
"1183"	"response to vaccine"	1	0	1	100
"1184"	"response to vaccine, cytokine measurement"	3	3	0	50
"1185"	"response to venlafaxine, generalized anxiety disorder"	2	2	0	50
"1186"	"resting heart rate"	18	9	9	66.6666666666667
"1187"	"resting metabolic rate measurement"	1	1	0	50
"1188"	"restless legs syndrome"	7	3	4	70
"1189"	"reticulocyte count"	117	67	50	63.5869565217391
"1190"	"reticulocyte measurement"	71	40	31	63.963963963964
"1191"	"retinal vasculature measurement"	2	2	0	50
"1192"	"retinopathy"	1	1	0	50
"1193"	"retinopathy, type II diabetes mellitus"	1	0	1	100
"1194"	"rheumatoid arthritis"	216	131	85	62.2478386167147
"1195"	"rheumatoid arthritis, carotid atherosclerosis"	1	0	1	100
"1196"	"risk-taking behaviour"	32	17	15	65.3061224489796
"1197"	"risky sexual behaviour measurement"	2	0	2	100
"1198"	"rosacea severity measurement"	11	2	9	84.6153846153846
"1199"	"RR interval"	3	2	1	60
"1200"	"salivary gland lesion, autoimmune pancreatitis type 1, lachrymal gland lesion"	1	0	1	100
"1201"	"salivary metabolite measurement, urate measurement"	1	1	0	50
"1202"	"Sarcoidosis"	1	0	1	100
"1203"	"schizophrenia"	271	143	128	65.4589371980676
"1204"	"schizophrenia, antipsychotic drug use measurement, schizoaffective disorder"	1	1	0	50
"1205"	"schizophrenia, autism spectrum disorder"	19	12	7	61.2903225806452
"1206"	"schizophrenia, bipolar disorder"	2	1	1	66.6666666666667
"1207"	"schizophrenia, bipolar disorder, attempted suicide"	1	0	1	100
"1208"	"schizophrenia, bipolar disorder, response to lithium ion"	2	0	2	100
"1209"	"schizophrenia, heart rate variability measurement, response to antipsychotic drug"	2	1	1	66.6666666666667
"1210"	"schizophrenia, response to clozapine"	2	2	0	50
"1211"	"schizophrenia, response to haloperidol"	1	1	0	50
"1212"	"schizophrenia, response to olanzapine"	1	1	0	50
"1213"	"schizophrenia, response to paliperidone, schizophrenia symptom severity measurement"	14	1	13	93.3333333333333
"1214"	"schizophrenia, response to perphenazine"	1	0	1	100
"1215"	"schizophrenia, response to quetiapine"	2	2	0	50
"1216"	"schizophrenia, response to risperidone"	1	1	0	50
"1217"	"sclerosing cholangitis"	11	8	3	57.8947368421053
"1218"	"seasonal allergic rhinitis"	5	4	1	55.5555555555556
"1219"	"seasonal allergic rhinitis, asthma"	6	2	4	75
"1220"	"seasonality measurement"	1	0	1	100
"1221"	"selenium measurement"	12	9	3	57.1428571428571
"1222"	"Self-injurious behavior"	2	0	2	100
"1223"	"self rated health"	2	1	1	66.6666666666667
"1224"	"self reported educational attainment"	145	77	68	65.3153153153153
"1225"	"self reported educational attainment, refractive error measurement"	12	8	4	60
"1226"	"Sensory impairment, Charcot-Marie-Tooth disease type 1A"	1	0	1	100
"1227"	"sensory perception of bitter taste"	4	4	0	50
"1228"	"sensory perception of smell"	2	0	2	100
"1229"	"sensory perception of sweet taste"	1	0	1	100
"1230"	"sensory perception of taste"	2	1	1	66.6666666666667
"1231"	"serine measurement, amino acid measurement"	4	2	2	66.6666666666667
"1232"	"serine/threonine-protein kinase 17B measurement"	1	0	1	100
"1233"	"seropositivity measurement, Chlamydia pneumoniae seropositivity"	1	1	0	50
"1234"	"serum alanine aminotransferase measurement"	24	9	15	72.7272727272727
"1235"	"serum alanine aminotransferase measurement, non-alcoholic fatty liver disease"	1	1	0	50
"1236"	"serum alanine aminotransferase measurement, response to combination chemotherapy, acute lymphoblastic leukemia"	2	1	1	66.6666666666667
"1237"	"serum albumin measurement"	5	3	2	62.5
"1238"	"serum alpha-1-antitrypsin measurement"	2	1	1	66.6666666666667
"1239"	"serum amyloid A protein measurement"	1	1	0	50
"1240"	"serum carcinoembryonic antigen measurement"	4	4	0	50
"1241"	"serum galactose-deficient IgA1 measurement"	1	1	0	50
"1242"	"serum gamma-glutamyl transferase measurement"	15	6	9	71.4285714285714
"1243"	"serum hepcidin measurement"	1	1	0	50
"1244"	"serum homoarginine measurement"	1	1	0	50
"1245"	"serum IgA measurement"	3	3	0	50
"1246"	"serum IgE measurement"	5	4	1	55.5555555555556
"1247"	"serum IgG glycosylation measurement"	208	73	135	74.0213523131673
"1248"	"serum IgG measurement, response to dietary antigen"	1	1	0	50
"1249"	"serum IgM measurement"	6	2	4	75
"1250"	"serum iron measurement"	2	1	1	66.6666666666667
"1251"	"serum lipase activity measurement"	1	1	0	50
"1252"	"serum metabolite measurement"	8	5	3	61.5384615384615
"1253"	"serum non-albumin protein measurement"	1	1	0	50
"1254"	"serum selenium measurement"	1	1	0	50
"1255"	"serum ST2 measurement"	2	1	1	66.6666666666667
"1256"	"serum urea measurement"	1	1	0	50
"1257"	"sex hormone-binding globulin measurement"	217	94	123	69.7749196141479
"1258"	"sex interaction measurement, body mass index, age at assessment"	6	2	4	75
"1259"	"sexual dysfunction"	1	0	1	100
"1260"	"short-term memory"	1	0	1	100
"1261"	"shoulder impingement syndrome"	2	0	2	100
"1262"	"sialic acid-binding Ig-like lectin 14 measurement"	1	1	0	50
"1263"	"sialic acid-binding Ig-like lectin 9 measurement"	1	1	0	50
"1264"	"Sickle cell anemia"	1	0	1	100
"1265"	"sitting height ratio"	8	1	7	88.8888888888889
"1266"	"Sjogren syndrome"	3	2	1	60
"1267"	"skin aging measurement"	11	6	5	64.7058823529412
"1268"	"skin pigmentation"	10	7	3	58.8235294117647
"1269"	"skin pigmentation measurement"	5	4	1	55.5555555555556
"1270"	"skin sensitivity to sun"	1	1	0	50
"1271"	"SLAM family member 7 measurement"	1	1	0	50
"1272"	"sleep apnea measurement"	1	0	1	100
"1273"	"sleep duration"	11	8	3	57.8947368421053
"1274"	"sleep quality"	2	2	0	50
"1275"	"small vessel stroke"	2	2	0	50
"1276"	"smoking behavior"	22	12	10	64.7058823529412
"1277"	"smoking behavior, BMI-adjusted waist-hip ratio"	92	50	42	64.7887323943662
"1278"	"smoking behavior, BMI-adjusted waist circumference"	101	57	44	63.9240506329114
"1279"	"smoking behavior, body mass index"	219	119	100	64.792899408284
"1280"	"smoking behavior, emphysema pattern measurement"	5	3	2	62.5
"1281"	"smoking behavior, forced expiratory volume"	1	1	0	50
"1282"	"smoking behaviour measurement"	7	4	3	63.6363636363636
"1283"	"smoking behaviour measurement, body mass index"	1	1	0	50
"1284"	"smoking behaviour measurement, waist-hip ratio"	1	0	1	100
"1285"	"smoking cessation"	9	7	2	56.25
"1286"	"smoking initiation"	24	16	8	60
"1287"	"smoking status measurement"	58	44	14	56.8627450980392
"1288"	"smoking status measurement, carotid artery intima media thickness"	3	1	2	75
"1289"	"smoking status measurement, fibrinogen measurement"	1	0	1	100
"1290"	"smoking status measurement, forced expiratory volume"	1	1	0	50
"1291"	"smoking status measurement, lung carcinoma"	6	3	3	66.6666666666667
"1292"	"smooth surface dental caries"	6	0	6	100
"1293"	"snoring measurement"	11	1	10	91.6666666666667
"1294"	"social interaction measurement"	1	1	0	50
"1295"	"sodium measurement"	8	5	3	61.5384615384615
"1296"	"sodium measurement, diastolic blood pressure"	1	1	0	50
"1297"	"soluble gp130 measurement"	1	0	1	100
"1298"	"soluble transferrin receptor measurement, iron biomarker measurement"	3	1	2	75
"1299"	"SPARC-like protein 1 measurement"	1	1	0	50
"1300"	"specific language impairment"	1	1	0	50
"1301"	"speech perception"	2	2	0	50
"1302"	"sphingolipid measurement"	6	3	3	66.6666666666667
"1303"	"sphingolipid measurement, blood metabolite measurement"	5	5	0	50
"1304"	"sphingomyelin measurement"	1	1	0	50
"1305"	"spine bone mineral density"	8	7	1	53.3333333333333
"1306"	"spine bone size"	3	3	0	50
"1307"	"spontaneous coronary artery dissection"	2	2	0	50
"1308"	"sporadic Creutzfeld Jacob disease"	2	1	1	66.6666666666667
"1309"	"squamous cell carcinoma"	7	5	2	58.3333333333333
"1310"	"squamous cell carcinoma, esophageal carcinoma"	3	0	3	100
"1311"	"squamous cell carcinoma, multiple keratinocyte carcinoma susceptibility measurement, basal cell carcinoma"	1	0	1	100
"1312"	"squamous cell lung carcinoma"	6	3	3	66.6666666666667
"1313"	"ST2 protein measurement"	2	1	1	66.6666666666667
"1314"	"stem Cell Factor measurement"	6	5	1	54.5454545454545
"1315"	"stem Cell Growth Factor beta measurement"	1	0	1	100
"1316"	"Stevens-Johnson syndrome, toxic epidermal necrolysis"	4	1	3	80
"1317"	"stricture, Crohn's disease"	1	1	0	50
"1318"	"stricture, Crohn's disease, complicated disease course"	1	1	0	50
"1319"	"stroke"	7	3	4	70
"1320"	"stroke, coronary artery disease"	1	1	0	50
"1321"	"stromal cell-derived factor 1 alpha measurement"	2	0	2	100
"1322"	"stromelysin***2 measurement"	1	1	0	50
"1323"	"subcutaneous adipose tissue measurement"	11	6	5	64.7058823529412
"1324"	"sucrose liking measurement"	1	0	1	100
"1325"	"sugar consumption measurement"	3	3	0	50
"1326"	"suicidal ideation"	3	1	2	75
"1327"	"suicide behaviour measurement"	1	0	1	100
"1328"	"suicide ideation measurement, unipolar depression"	1	1	0	50
"1329"	"sunburn"	2	1	1	66.6666666666667
"1330"	"suntan"	8	5	3	61.5384615384615
"1331"	"superior frontal gyrus grey matter volume measurement"	2	0	2	100
"1332"	"survival time, breast carcinoma"	2	0	2	100
"1333"	"susceptibility to cold sores measurement"	1	1	0	50
"1334"	"susceptibility to infectious disease measurement"	3	0	3	100
"1335"	"susceptibility to mumps measurement"	1	0	1	100
"1336"	"sweet beverage consumption measurement"	2	2	0	50
"1337"	"sweet liking measurement"	1	1	0	50
"1338"	"systemic juvenile idiopathic arthritis, polyarticular juvenile idiopathic arthritis, rheumatoid factor negative, oligoarticular juvenile idiopathic arthritis"	1	1	0	50
"1339"	"systemic lupus erythematosus"	65	51	14	56.0344827586207
"1340"	"systemic lupus erythematosus, lupus nephritis"	2	1	1	66.6666666666667
"1341"	"systemic scleroderma"	7	6	1	53.8461538461539
"1342"	"systemic scleroderma, Crohn's disease"	1	1	0	50
"1343"	"systemic scleroderma, rheumatoid arthritis, myositis, systemic lupus erythematosus"	3	3	0	50
"1344"	"systolic blood pressure"	209	119	90	63.719512195122
"1345"	"systolic blood pressure change measurement"	1	1	0	50
"1346"	"systolic blood pressure, alcohol consumption measurement"	4	1	3	80
"1347"	"systolic blood pressure, alcohol drinking"	8	4	4	66.6666666666667
"1348"	"systolic blood pressure, response to cold pressor test"	1	1	0	50
"1349"	"T-cell immunoglobulin and mucin domain 1 measurement"	1	1	0	50
"1350"	"t-tau measurement"	5	3	2	62.5
"1351"	"t-tau:beta-amyloid 1-42 ratio measurement"	1	0	1	100
"1352"	"T wave morphology measurement"	4	0	4	100
"1353"	"Takayasu arteritis"	2	1	1	66.6666666666667
"1354"	"tea consumption measurement"	10	6	4	62.5
"1355"	"telomere length"	17	14	3	54.8387096774194
"1356"	"temperament and character inventory"	6	4	2	60
"1357"	"temporal arteritis"	1	1	0	50
"1358"	"testicular carcinoma"	22	17	5	56.4102564102564
"1359"	"Testicular Germ Cell Tumor"	34	21	13	61.8181818181818
"1360"	"testosterone measurement"	107	39	68	73.2876712328767
"1361"	"Tetralogy of Fallot"	4	3	1	57.1428571428571
"1362"	"thrombomodulin measurement"	2	0	2	100
"1363"	"thyroid carcinoma"	9	9	0	50
"1364"	"thyroid function"	3	1	2	75
"1365"	"thyroid peroxidase antibody measurement"	6	5	1	54.5454545454545
"1366"	"Thyroid preparation use measurement"	13	11	2	54.1666666666667
"1367"	"thyroid stimulating hormone measurement"	13	8	5	61.9047619047619
