"DISEASE.TRAIT"	"risk_count"	"risk_1"	"risk_count_2"	"overall_risk_d * 100"
"870"	"Insomnia symptoms (never/rarely vs. sometimes/usually)"	1	0	1	100
"871"	"Insomnia symptoms (never/rarely vs. usually)"	4	1	3	80
"872"	"Insulin-like growth factors"	2	2	0	50
"873"	"Insulin-related traits"	2	2	0	50
"874"	"Insulin disposition index"	1	1	0	50
"875"	"Insulin levels in response to oral glucose tolerance test (30 minutes)"	2	1	1	66.6666666666667
"876"	"Insulin resistance/response"	2	0	2	100
"877"	"Insulinogenic index"	1	1	0	50
"878"	"Intake of total sugars"	3	3	0	50
"879"	"Intelligence"	31	20	11	60.7843137254902
"880"	"Intelligence (childhood)"	6	5	1	54.5454545454545
"881"	"Intelligence (MTAG)"	33	21	12	61.1111111111111
"882"	"Interferon gamma-induced protein 10 levels"	2	0	2	100
"883"	"Interferon gamma levels"	1	1	0	50
"884"	"Interleukin-1-beta levels"	2	1	1	66.6666666666667
"885"	"Interleukin-1-receptor antagonist levels"	3	1	2	75
"886"	"Interleukin-10 levels"	3	2	1	60
"887"	"Interleukin-12p70 levels"	3	3	0	50
"888"	"Interleukin-13 levels"	3	1	2	75
"889"	"Interleukin-16 levels"	3	0	3	100
"890"	"Interleukin-17 levels"	1	0	1	100
"891"	"Interleukin-18 levels"	4	1	3	80
"892"	"interleukin-18 receptor 1 levels"	1	1	0	50
"893"	"Interleukin-2 levels"	1	1	0	50
"894"	"Interleukin-2 receptor antagonist levels"	3	2	1	60
"895"	"Interleukin-4 levels"	1	0	1	100
"896"	"Interleukin-5 levels"	1	0	1	100
"897"	"Interleukin-8 levels"	1	1	0	50
"898"	"Interleukin-9 levels"	3	0	3	100
"899"	"interleukin 17 receptor B levels"	1	1	0	50
"900"	"Interstitial lung disease"	5	3	2	62.5
"901"	"Intertrochanteric region size"	2	2	0	50
"902"	"Intracerebral hemorrhage"	1	0	1	100
"903"	"Intracranial aneurysm"	18	7	11	72
"904"	"Intracranial volume"	1	1	0	50
"905"	"Intraocular pressure"	84	47	37	64.1221374045801
"906"	"Intraocular pressure and central corneal thickness (multi-trait analysis)"	1	1	0	50
"907"	"Invasive epithelial ovarian cancer"	3	3	0	50
"908"	"Iris characteristics"	7	5	2	58.3333333333333
"909"	"Iris color (b* coordinate)"	2	0	2	100
"910"	"Iris color (L* coordinate)"	1	1	0	50
"911"	"Iron levels"	1	0	1	100
"912"	"Iron status biomarkers"	13	9	4	59.0909090909091
"913"	"Iron status biomarkers (ferritin levels)"	5	3	2	62.5
"914"	"Iron status biomarkers (iron levels)"	5	3	2	62.5
"915"	"Iron status biomarkers (total iron binding capacity)"	6	2	4	75
"916"	"Iron status biomarkers (transferrin levels)"	7	5	2	58.3333333333333
"917"	"Iron status biomarkers (transferrin saturation)"	7	4	3	63.6363636363636
"918"	"Irritable bowel syndrome"	3	2	1	60
"919"	"Irritable mood"	7	5	2	58.3333333333333
"920"	"Ischemic stroke"	6	1	5	85.7142857142857
"921"	"Ischemic stroke (cardioembolic)"	1	0	1	100
"922"	"Isovolumetric relaxation time"	1	0	1	100
"923"	"Itch intensity from mosquito bite"	6	4	2	60
"924"	"Itch intensity from mosquito bite adjusted by bite size"	16	6	10	72.7272727272727
"925"	"Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular)"	1	1	0	50
"926"	"Kawasaki disease"	10	5	5	66.6666666666667
"927"	"Keloid"	1	1	0	50
"928"	"Keratinocyte cancer (MTAG)"	16	8	8	66.6666666666667
"929"	"Kidney injury molecule 1 levels"	2	2	0	50
"930"	"Kidney stones"	4	2	2	66.6666666666667
"931"	"Knee osteoarthritis"	2	2	0	50
"932"	"Knee pain"	1	1	0	50
"933"	"Lachrymal/Salivary gland lesion in type 1 autoimmune pancreatitis"	1	0	1	100
"934"	"Large artery stroke"	2	1	1	66.6666666666667
"935"	"Late-onset Alzheimer's disease"	2	1	1	66.6666666666667
"936"	"Latent naming speed"	1	1	0	50
"937"	"LDL (oxidized)"	1	0	1	100
"938"	"LDL cholesterol"	92	60	32	60.5263157894737
"939"	"LDL cholesterol levels"	137	83	54	62.2727272727273
"940"	"LDL cholesterol levels in current drinkers"	24	17	7	58.5365853658537
"941"	"LDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df)"	30	20	10	60
"942"	"LDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)"	31	19	12	62
"943"	"LDL cholesterol x physical activity interaction (2df test)"	8	4	4	66.6666666666667
"944"	"LDL peak particle diameter (total fat intake interaction)"	1	0	1	100
"945"	"Lead levels in blood"	2	2	0	50
"946"	"Lectin-like oxidized LDL receptor 1 levels"	2	1	1	66.6666666666667
"947"	"Left-handedness"	2	2	0	50
"948"	"Left ventricle diastolic internal dimension"	1	1	0	50
"949"	"Left ventricle wall thickness"	2	0	2	100
"950"	"Leisure-time exercise behaviour"	1	0	1	100
"951"	"Length of menstrual cycle"	1	0	1	100
"952"	"Lentiform nucleus volume"	5	3	2	62.5
"953"	"Leprosy"	11	4	7	73.3333333333333
"954"	"Leukocyte telomere length"	8	7	1	53.3333333333333
"955"	"Levodopa-induced dyskinesia in levodopa treated Parkinson's disease"	1	1	0	50
"956"	"Levodopa wearing off effect (time symptoms uncontrolled) in Parkinson's disease (response to zonisamide)"	2	0	2	100
"957"	"Lewy body disease"	1	1	0	50
"958"	"Life satisfaction"	5	4	1	55.5555555555556
"959"	"Life threatening arrhythmia"	1	1	0	50
"960"	"Lifetime average cigarettes per day in chronic obstructive pulmonary disease"	2	0	2	100
"961"	"Lifetime smoking index"	7	4	3	63.6363636363636
"962"	"Limited cutaneous systemic scleroderma"	1	1	0	50
"963"	"Lipid traits"	10	8	2	55.5555555555556
"964"	"Lipoprotein-associated phospholipase A2 activity and mass"	10	5	5	66.6666666666667
"965"	"Lipoprotein-associated phospholipase A2 activity change in response to darapladib treatment in cardiovascular disease"	1	1	0	50
"966"	"Lipoprotein-associated phospholipase A2 activity change in response to statin therapy"	1	1	0	50
"967"	"Lipoprotein (a) levels"	4	3	1	57.1428571428571
"968"	"Lipoprotein (a) levels in coronary artery disease (percutaneous coronary intervention)"	1	0	1	100
"969"	"Lipoprotein phospholipase A2 activity in cardiovascular disease"	3	3	0	50
"970"	"Lipoprotein(a) levels adjusted for apolipoprotein(a) isoforms"	1	1	0	50
"971"	"Liver enzyme levels"	2	2	0	50
"972"	"Liver enzyme levels (alanine transaminase)"	2	0	2	100
"973"	"Liver enzyme levels (alkaline phosphatase)"	4	3	1	57.1428571428571
"974"	"Liver enzyme levels (gamma-glutamyl transferase)"	14	5	9	73.6842105263158
"975"	"Liver fat content (MRI proton density fat fraction measure)"	2	1	1	66.6666666666667
"976"	"Liver fibrosis and steatohepatitis severity (MRI cT1 measure)"	1	1	0	50
"977"	"Liver injury in anti-tuberculosis drug treatment"	1	0	1	100
"978"	"Lobe size"	1	1	0	50
"979"	"Local histogram emphysema pattern"	15	3	12	83.3333333333333
"980"	"Logical memory (delayed recall)"	1	1	0	50
"981"	"Logical memory (immediate recall)"	1	1	0	50
"982"	"Logical memory (immediate recall) in normal cognition"	1	1	0	50
"983"	"Loneliness"	1	1	0	50
"984"	"Loneliness (MTAG)"	1	1	0	50
"985"	"Longevity"	4	2	2	66.6666666666667
"986"	"Longevity (90 years and older)"	3	1	2	75
"987"	"Longevity (age >90th survival percentile)"	5	2	3	71.4285714285714
"988"	"Longevity (age >99th survival percentile)"	5	2	3	71.4285714285714
"989"	"Longitudinal alcohol consumption"	3	0	3	100
"990"	"Low-grade serous and serous borderline ovarian cancer"	4	3	1	57.1428571428571
"991"	"Low density lipoprotein cholesterol levels"	277	118	159	70.126582278481
"992"	"Low density lipoprotein cholesterol levels (on statin treatment)"	2	2	0	50
"993"	"Low hand grip strength (60 years and older) (EWGSOP)"	2	2	0	50
"994"	"Low high density lipoprotein cholesterol levels"	2	1	1	66.6666666666667
"995"	"Low tan response"	2	2	0	50
"996"	"Low urine pH"	1	1	0	50
"997"	"Lp (a) levels"	3	3	0	50
"998"	"Lumbar spine bone mineral density"	28	17	11	62.2222222222222
"999"	"Lumbar spine bone mineral density (integral)"	4	3	1	57.1428571428571
"1000"	"Lumbar spine bone mineral density (trabecular)"	1	1	0	50
"1001"	"Lung adenocarcinoma"	14	5	9	73.6842105263158
"1002"	"Lung cancer"	14	5	9	73.6842105263158
"1003"	"Lung cancer in ever smokers"	5	2	3	71.4285714285714
"1004"	"Lung cancer in never smokers"	1	1	0	50
"1005"	"Lung disease severity in cystic fibrosis"	3	3	0	50
"1006"	"Lung function"	1	1	0	50
"1007"	"Lung function (FEV1)"	1	1	0	50
"1008"	"Lung function (FEV1/FVC)"	21	11	10	65.625
"1009"	"Lung function (forced vital capacity)"	3	3	0	50
"1010"	"Lung function (FVC)"	14	9	5	60.8695652173913
"1011"	"Lung function (low FEV1 vs high FEV1)"	1	1	0	50
"1012"	"Lung function in never smokers (low FEV1 vs high FEV1)"	1	1	0	50
"1013"	"Lupus nephritis in systemic lupus erythematosus"	2	1	1	66.6666666666667
"1014"	"Lymphocyte counts"	114	75	39	60.3174603174603
"1015"	"Lymphocyte percentage of white cells"	29	21	8	58
"1016"	"Lymphocytic leukemia"	1	0	1	100
"1017"	"Lymphoma"	1	1	0	50
"1018"	"Macrophage colony stimulating factor levels"	1	0	1	100
"1019"	"Macrophage inflammatory protein 1a levels"	1	0	1	100
"1020"	"Macrophage inflammatory protein 1b levels"	9	0	9	100
"1021"	"Macrophage Migration Inhibitory Factor levels"	2	1	1	66.6666666666667
"1022"	"Magnesium levels"	6	4	2	60
"1023"	"Major depressive disorder"	24	15	9	61.5384615384615
"1024"	"Major depressive disorder (broad)"	2	1	1	66.6666666666667
"1025"	"Major depressive disorder (probable)"	1	0	1	100
"1026"	"Major depressive disorder in trauma exposed individuals"	6	2	4	75
"1027"	"Malaria"	3	0	3	100
"1028"	"Malate levels"	1	0	1	100
"1029"	"Male-pattern baldness"	55	33	22	62.5
"1030"	"Male puberty timing (age at voice breaking MTAG)"	5	3	2	62.5
"1031"	"Male puberty timing (early vs. average onset facial hair)"	3	2	1	60
"1032"	"Male puberty timing (early vs. average onset voice breaking)"	1	1	0	50
"1033"	"Male puberty timing (late vs. average onset facial hair)"	3	2	1	60
"1034"	"Male puberty timing (late vs. average onset voice breaking)"	2	1	1	66.6666666666667
"1035"	"Mammographic density (dense area)"	4	0	4	100
"1036"	"Mammographic density (non-dense area)"	1	1	0	50
"1037"	"Matrix metalloproteinase-10 levels"	3	2	1	60
"1038"	"Matrix metalloproteinase-12 levels"	1	0	1	100
"1039"	"Matrix metalloproteinase-3 levels"	2	1	1	66.6666666666667
"1040"	"Matrix metalloproteinase levels"	2	2	0	50
"1041"	"Maximum retinal arteriolar tortuosity"	1	1	0	50
"1042"	"Mean arterial pressure"	40	27	13	59.7014925373134
"1043"	"Mean arterial pressure (long-term average)"	1	0	1	100
"1044"	"Mean arterial pressure x alcohol consumption (light vs heavy) interaction (2df test)"	4	1	3	80
"1045"	"Mean arterial pressure x alcohol consumption interaction (2df test)"	5	4	1	55.5555555555556
"1046"	"Mean corpuscular hemoglobin"	116	67	49	63.3879781420765
"1047"	"Mean corpuscular hemoglobin concentration"	49	23	26	68.0555555555556
"1048"	"Mean corpuscular volume"	136	81	55	62.6728110599078
"1049"	"Mean platelet volume"	166	69	97	70.6382978723404
"1050"	"Mean reticulocyte volume"	26	19	7	57.7777777777778
"1051"	"Mean spheric corpuscular volume"	46	34	12	57.5
"1052"	"Medication use (adrenergics, inhalants)"	3	3	0	50
"1053"	"Medication use (agents acting on the renin-angiotensin system)"	10	8	2	55.5555555555556
"1054"	"Medication use (anilides)"	1	1	0	50
"1055"	"Medication use (anti-inflammatory and antirheumatic products, non-steroids)"	1	1	0	50
"1056"	"Medication use (antiglaucoma preparations and miotics)"	3	2	1	60
"1057"	"Medication use (antimigraine preparations)"	3	3	0	50
"1058"	"Medication use (antithrombotic agents)"	2	2	0	50
"1059"	"Medication use (beta blocking agents)"	1	1	0	50
"1060"	"Medication use (calcium channel blockers)"	8	8	0	50
"1061"	"Medication use (diuretics)"	3	3	0	50
"1062"	"Medication use (drugs affecting bone structure and mineralization)"	1	0	1	100
"1063"	"Medication use (drugs used in diabetes)"	6	4	2	60
"1064"	"Medication use (HMG CoA reductase inhibitors)"	13	11	2	54.1666666666667
"1065"	"Medication use (immunosuppressants)"	1	1	0	50
"1066"	"Medication use (salicylic acid and derivatives)"	3	3	0	50
"1067"	"Medication use (thyroid preparations)"	13	11	2	54.1666666666667
"1068"	"Melanoma"	13	9	4	59.0909090909091
"1069"	"Menarche (age at onset)"	101	53	48	65.5844155844156
"1070"	"Menarche and menopause (age at onset)"	2	1	1	66.6666666666667
"1071"	"Meningioma"	1	1	0	50
"1072"	"Menopause (age at onset)"	25	13	12	65.7894736842105
"1073"	"Menstruation quality of life impact (acne)"	3	2	1	60
"1074"	"Menstruation quality of life impact (aggressiveness)"	1	1	0	50
"1075"	"Menstruation quality of life impact (increased appetite)"	1	1	0	50
"1076"	"Menstruation quality of life impact (loss of concentration)"	1	0	1	100
"1077"	"Mental health study participation (completed survey)"	1	1	0	50
"1078"	"Mental health study participation (provided email address)"	1	1	0	50
"1079"	"Merkel cell polyomavirus VP1 antibody levels"	1	0	1	100
"1080"	"Metabolic syndrome"	25	14	11	64.1025641025641
"1081"	"Metabolic syndrome (bivariate traits)"	7	2	5	77.7777777777778
"1082"	"Metabolic traits"	18	14	4	56.25
"1083"	"Metabolite levels"	22	8	14	73.3333333333333
"1084"	"Metabolite levels  (X-11787)"	3	1	2	75
"1085"	"Metabolite levels (5-HIAA)"	2	2	0	50
"1086"	"Metabolite levels (5-HIAA/ MHPG Ratio)"	1	1	0	50
"1087"	"Metabolite levels (Dihydroxy docosatrienoic acid)"	1	0	1	100
"1088"	"Metabolite levels (HVA/5-HIAA ratio)"	1	1	0	50
"1089"	"Metabolite levels (HVA/MHPG ratio)"	2	1	1	66.6666666666667
"1090"	"Metabolite levels (lipid measures)"	2	1	1	66.6666666666667
"1091"	"Metabolite levels (lipoprotein measures)"	6	5	1	54.5454545454545
"1092"	"Metabolite levels (MHPG)"	3	2	1	60
"1093"	"Metabolite levels (Pyroglutamine)"	1	0	1	100
"1094"	"Metabolite levels (small molecules and protein measures)"	4	0	4	100
"1095"	"Methadone dose in opioid dependence"	1	1	0	50
"1096"	"Methotrexate phramacokinetics (acute lymphoblastic leukemia)"	5	1	4	83.3333333333333
"1097"	"Microalbuminuria"	3	3	0	50
"1098"	"Microscopic brain infarct"	1	0	1	100
"1099"	"Middle childhood and early adolescence aggressive behavior"	1	1	0	50
"1100"	"middle facial morphology traits (quantitative measurement)"	2	1	1	66.6666666666667
"1101"	"Midline nonsyndromic craniosynostosis"	1	1	0	50
"1102"	"Migraine"	9	7	2	56.25
"1103"	"Migraine - clinic-based"	3	3	0	50
"1104"	"Migraine with aura"	1	1	0	50
"1105"	"Migraine without aura"	4	4	0	50
"1106"	"Mild to moderate chronic kidney disease"	1	0	1	100
"1107"	"Minimum ankle***brachial index"	1	0	1	100
"1108"	"Moderate to vigorous physical activity levels"	3	0	3	100
"1109"	"Modic changes"	2	0	2	100
"1110"	"Modified Stumvoll Insulin Sensitivity Index (BMI interaction)"	1	0	1	100
"1111"	"Modified Stumvoll Insulin Sensitivity Index (model adjusted for BMI)"	3	0	3	100
"1112"	"Monoclonal gammopathy of undetermined significance"	1	0	1	100
"1113"	"Monocyte chemoattractant protein-1 levels"	9	5	4	64.2857142857143
"1114"	"Monocyte chemoattractant protein-4 levels"	1	1	0	50
"1115"	"Monocyte count"	117	75	42	60.9375
"1116"	"Monocyte percentage of white cells"	37	27	10	57.8125
"1117"	"Monokine induced by gamma interferon levels"	3	1	2	75
"1118"	"Morning person"	12	6	6	66.6666666666667
"1119"	"Morning vs. evening chronotype"	3	1	2	75
"1120"	"Morningness"	12	6	6	66.6666666666667
"1121"	"Mortality in heart failure"	2	1	1	66.6666666666667
"1122"	"Mosaic loss of chromosome Y"	1	0	1	100
"1123"	"Mosaic loss of chromosome Y (Y chromosome dosage)"	3	0	3	100
"1124"	"Mosquito bite size"	5	3	2	62.5
"1125"	"Motion sickness"	19	14	5	57.5757575757576
"1126"	"Motor fluctuations in levodopa treated Parkinson's disease"	1	1	0	50
"1127"	"Mouth ulcers"	8	5	3	61.5384615384615
"1128"	"Moyamoya disease"	2	0	2	100
"1129"	"Mucinous adenocarcinoma in colorectal cancer"	3	3	0	50
"1130"	"Mucinous ovarian carcinoma"	1	0	1	100
"1131"	"Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma)"	3	3	0	50
"1132"	"Multiple keratinocyte cancers"	1	0	1	100
"1133"	"Multiple myeloma"	7	2	5	77.7777777777778
"1134"	"Multiple myeloma (hyperdiploidy)"	1	1	0	50
"1135"	"Multiple myeloma (IgH translocation)"	4	2	2	66.6666666666667
"1136"	"Multiple sclerosis"	92	60	32	60.5263157894737
"1137"	"Multiple system atrophy"	2	1	1	66.6666666666667
"1138"	"Multisite chronic pain"	1	1	0	50
"1139"	"Mumps"	1	0	1	100
"1140"	"Myasthenia gravis"	5	5	0	50
"1141"	"Myeloid clonal hematopoiesis"	2	1	1	66.6666666666667
"1142"	"Myeloid white cell count"	18	11	7	62.0689655172414
"1143"	"Myeloperoxidase levels"	1	1	0	50
"1144"	"Myeloproliferative neoplasms"	4	3	1	57.1428571428571
"1145"	"Myocardial infarction"	20	9	11	68.9655172413793
"1146"	"Myocardial infarction (early onset)"	6	2	4	75
"1147"	"Myocardial infarction in coronary artery disease"	1	1	0	50
"1148"	"Myopia (age of diagnosis)"	12	5	7	70.5882352941176
"1149"	"Myopia (pathological)"	5	3	2	62.5
"1150"	"Myopia (severe)"	1	0	1	100
"1151"	"N-desmethylclozapine concentration in schizophrenia"	1	1	0	50
"1152"	"N-glycan levels"	9	9	0	50
"1153"	"N-terminal prohormone brain natriuretic peptide levels"	1	0	1	100
"1154"	"Narcolepsy"	3	3	0	50
"1155"	"Narcolepsy (age of onset)"	1	1	0	50
"1156"	"Nasal polyps"	4	2	2	66.6666666666667
"1157"	"Nasopharyngeal carcinoma"	1	0	1	100
"1158"	"Neovascular age-related macular degeneration"	1	0	1	100
"1159"	"Neuranatomic and neurocognitive phenotypes"	1	0	1	100
"1160"	"Neuritic plaque"	7	4	3	63.6363636363636
"1161"	"Neuroblastoma"	9	6	3	60
"1162"	"Neuroblastoma (1p deletion)"	1	1	0	50
"1163"	"Neuroblastoma (high-risk)"	1	1	0	50
"1164"	"Neuroblastoma (MYCN amplification)"	1	1	0	50
"1165"	"Neuroblastoma or malignant cutaneous melanoma"	2	0	2	100
"1166"	"Neurociticism"	9	6	3	60
"1167"	"Neurocognitive impairment in HIV-1 infection (dichotomous)"	1	0	1	100
"1168"	"Neurofibrillary tangles"	3	1	2	75
"1169"	"Neurological blood protein biomarker levels"	7	7	0	50
"1170"	"Neuropathologic traits (pleiotropy)"	4	1	3	80
"1171"	"Neuroticism"	42	27	15	60.8695652173913
"1172"	"Neuroticism (MTAG)"	3	2	1	60
"1173"	"Neutralising antibody response to interferon beta therapy in multiple sclerosis (presence of antibodies)"	1	1	0	50
"1174"	"Neutrophil count"	95	56	39	62.9139072847682
"1175"	"Neutrophil percentage of granulocytes"	10	4	6	71.4285714285714
"1176"	"Neutrophil percentage of white cells"	24	16	8	60
"1177"	"Nevus count or cutaneous melanoma"	5	1	4	83.3333333333333
"1178"	"Nicotine dependence"	4	3	1	57.1428571428571
"1179"	"Nicotine dependence symptom count"	6	5	1	54.5454545454545
"1180"	"Nicotine glucouronidation"	1	1	0	50
"1181"	"Nicotine use"	1	1	0	50
"1182"	"Nicotine withdrawal"	1	0	1	100
"1183"	"Night sleep phenotypes"	6	3	3	66.6666666666667
"1184"	"Non-albumin protein levels"	2	1	1	66.6666666666667
"1185"	"Non-alcoholic fatty liver disease activity score in non-alcoholic fatty liver disease"	3	3	0	50
"1186"	"Non-alcoholic fatty liver disease histology (lobular)"	1	1	0	50
"1187"	"Non-alcoholic fatty liver disease histology (other)"	6	3	3	66.6666666666667
"1188"	"Non-cardia gastric cancer"	3	2	1	60
"1189"	"Non-glioblastoma glioma"	4	3	1	57.1428571428571
"1190"	"Non-Hodgkin's lymphoma"	1	1	0	50
"1191"	"Non-melanoma skin cancer"	12	3	9	80
"1192"	"Non-obstructive azoospermia"	1	1	0	50
"1193"	"Non-small cell lung cancer"	5	3	2	62.5
"1194"	"Non-small cell lung cancer (survival)"	1	1	0	50
"1195"	"Non-word reading"	1	1	0	50
"1196"	"Nonalcoholic fatty liver disease"	1	1	0	50
"1197"	"Nonatopic asthma or fasting glucose levels"	1	1	0	50
"1198"	"Noncognitive aspects of educational attainment"	6	2	4	75
"1199"	"Nonsyndromic cleft lip"	1	1	0	50
"1200"	"Nonsyndromic cleft lip with cleft palate"	4	3	1	57.1428571428571
"1201"	"Nonsyndromic cleft lip with or without cleft palate"	4	3	1	57.1428571428571
"1202"	"Nonsyndromic cleft lip with or without cleft palate x sex interaction (2df test)"	2	0	2	100
"1203"	"Nonsyndromic cleft palate"	1	1	0	50
"1204"	"Nucleus accumbens volume"	1	0	1	100
"1205"	"Number of decayed, missing and filled tooth surfaces or use of dentures"	4	3	1	57.1428571428571
"1206"	"Number of sexual partners"	2	0	2	100
"1207"	"Number of twin births"	1	0	1	100
"1208"	"Obese vs. thin"	1	1	0	50
"1209"	"Obesity"	52	29	23	64.1975308641975
"1210"	"Obesity-related traits"	70	54	16	56.4516129032258
"1211"	"Obesity (early onset extreme)"	12	6	6	66.6666666666667
"1212"	"Obesity (extreme)"	8	5	3	61.5384615384615
"1213"	"Objective response to lithium treatment in bipolar disorder"	1	1	0	50
"1214"	"Obsessive-compulsive symptoms"	1	0	1	100
"1215"	"Obstetric antiphospholipid syndrome"	1	0	1	100
"1216"	"Obstructive sleep apnea trait (apnea hypopnea index, change over time)"	1	0	1	100
"1217"	"Offspring birth weight"	20	9	11	68.9655172413793
"1218"	"Oleic acid (18:1n-9) levels"	6	4	2	60
"1219"	"Opioid dependence"	1	0	1	100
"1220"	"Opioid exposure"	2	0	2	100
"1221"	"Oppositional defiant disorder dimensions in attention-deficit hyperactivity disorder"	1	0	1	100
"1222"	"Optic cup area"	35	23	12	60.3448275862069
"1223"	"Optic disc area"	32	28	4	53.3333333333333
"1224"	"Optic disc parameters"	2	1	1	66.6666666666667
"1225"	"Optic disc radius"	1	1	0	50
"1226"	"Optic disc size"	10	7	3	58.8235294117647
"1227"	"Optic nerve head parameters (multi-trait analysis)"	2	1	1	66.6666666666667
"1228"	"Optic nerve measurement (cup area)"	4	2	2	66.6666666666667
"1229"	"Optic nerve measurement (disc area)"	5	3	2	62.5
"1230"	"Optic nerve measurement (rim area)"	2	2	0	50
"1231"	"Oral cavity and pharyngeal cancer"	2	2	0	50
"1232"	"Orofacial clefts"	10	8	2	55.5555555555556
"1233"	"Ossification of the posterior longitudinal ligament of the spine"	2	0	2	100
"1234"	"Osteoarthritis"	4	1	3	80
"1235"	"Osteoarthritis (hand, severe)"	1	1	0	50
"1236"	"Osteoarthritis (hip)"	4	1	3	80
"1237"	"Osteoarthritis biomarkers"	1	0	1	100
"1238"	"Osteoarthritis of the hip or knee"	1	1	0	50
"1239"	"Osteoarthritis of the knee (with total joint replacement)"	1	0	1	100
"1240"	"Osteolysis in total hip arthroplasty (time to prosthesis revision)"	1	1	0	50
"1241"	"Osteoporosis"	1	1	0	50
"1242"	"Osteoporosis-related phenotypes"	1	1	0	50
"1243"	"Osteoprotegerin levels"	3	0	3	100
"1244"	"Osteosarcoma"	1	1	0	50
"1245"	"Other erythrocyte phenotypes"	2	2	0	50
"1246"	"Ovarian cancer"	10	7	3	58.8235294117647
"1247"	"Ovarian cancer in BRCA1 mutation carriers"	4	2	2	66.6666666666667
"1248"	"Ovarian clear cell cancer"	1	0	1	100
"1249"	"Overweight status"	1	0	1	100
"1250"	"P wave duration"	2	2	0	50
"1251"	"Paget's disease"	6	3	3	66.6666666666667
"1252"	"Pain"	1	0	1	100
"1253"	"Pallidum volume"	2	0	2	100
"1254"	"Palmitic acid (16:0) levels"	4	3	1	57.1428571428571
"1255"	"Palmitoleic acid (16:1n-7) levels"	5	3	2	62.5
"1256"	"Pancreatic cancer"	25	11	14	69.4444444444444
"1257"	"Pancreatic ductal adenocarcinoma"	1	0	1	100
"1258"	"Pancreatitis"	2	2	0	50
"1259"	"Panic disorder"	1	1	0	50
"1260"	"Pappalysin-1 levels"	1	1	0	50
"1261"	"Parent of origin effect on language impairment (paternal)"	1	1	0	50
"1262"	"Parent of origin effect on receptive language ability (paternal)"	1	0	1	100
"1263"	"Parental lifespan"	3	2	1	60
"1264"	"Parental longevity (both parents in top 10%)"	3	1	2	75
"1265"	"Parental longevity (combined parental age at death)"	1	0	1	100
"1266"	"Parental longevity (combined parental attained age, Martingale residuals)"	12	5	7	70.5882352941176
"1267"	"Parental longevity (father's age at death or father's attained age)"	8	2	6	80
"1268"	"Parental longevity (father's age at death)"	4	2	2	66.6666666666667
"1269"	"Parental longevity (father's attained age)"	4	1	3	80
"1270"	"Parental longevity (mother's age at death or mother's attained age)"	6	2	4	75
"1271"	"Parental longevity (mother's age at death)"	5	2	3	71.4285714285714
"1272"	"Parental longevity (mother's attained age)"	1	0	1	100
"1273"	"Parkinson's disease"	41	17	24	70.6896551724138
"1274"	"Parkinson's disease or first degree relation to individual with Parkinson's disease"	5	2	3	71.4285714285714
"1275"	"PCA3 expression level"	1	1	0	50
"1276"	"Peak expiratory flow"	16	11	5	59.2592592592593
"1277"	"Peak hip bone mineral content"	1	1	0	50
"1278"	"Peak insulin response"	2	1	1	66.6666666666667
"1279"	"Peanut allergy"	1	1	0	50
"1280"	"Pediatric autoimmune diseases"	6	6	0	50
"1281"	"Pediatric bone mineral content (spine)"	2	2	0	50
"1282"	"Pediatric bone mineral density (femoral neck)"	1	1	0	50
"1283"	"Pediatric bone mineral density (hip)"	1	1	0	50
"1284"	"Pediatric bone mineral density (spine)"	2	2	0	50
"1285"	"Pediatric non-alcoholic fatty liver disease activity score"	2	1	1	66.6666666666667
"1286"	"PEG-asparaginase hypersensitivity without enzyme activity in childhood acute lymphoblastic leukaemia"	1	1	0	50
"1287"	"Pelvic organ prolapse"	3	2	1	60
"1288"	"Pelvic organ prolapse (moderate/severe)"	1	0	1	100
"1289"	"Pemphigus"	1	1	0	50
"1290"	"Pemphigus vulgaris"	2	1	1	66.6666666666667
"1291"	"Pepsinogen I/II ratio"	1	1	0	50
"1292"	"Perceived intensity of glucose"	1	0	1	100
"1293"	"Perceived unattractiveness to mosquitoes"	2	2	0	50
"1294"	"Percentage gas trapping"	4	3	1	57.1428571428571
"1295"	"Periodontal microbiota"	6	2	4	75
"1296"	"Periodontitis"	1	1	0	50
"1297"	"Periodontitis (CDC/AAP)"	4	1	3	80
"1298"	"Periodontitis (DPAL)"	2	1	1	66.6666666666667
"1299"	"Periodontitis (Mean PAL)"	2	1	1	66.6666666666667
"1300"	"Periodontitis (PAL4Q3)"	1	0	1	100
"1301"	"Peripheral arterial disease (traffic-related air pollution interaction)"	2	1	1	66.6666666666667
"1302"	"Peripheral artery disease"	6	4	2	60
"1303"	"Periventricular white matter hyperintensities"	1	0	1	100
"1304"	"Permanent tooth development"	3	1	2	75
"1305"	"Personality dimensions"	6	4	2	60
"1306"	"Phoneme awareness"	1	1	0	50
"1307"	"Phosphatidylcholine-ether levels"	1	1	0	50
"1308"	"Phosphatidylcholine levels"	4	4	0	50
"1309"	"Phosphatidylethanolamine-ether levels"	2	2	0	50
"1310"	"Phosphatidylethanolamine levels"	1	1	0	50
